qid,category_id,level,q_en,hint_en,persp_en,q_id,hint_id,persp_id
ethics-easy-01,ethics,easy,Can lying for a good cause ever be justified?,Start with a concrete everyday case before expanding the argument.,"Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For an easy discussion, keep the example concrete and personal.",Apakah berbohong demi kebaikan bisa dibenarkan?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
ethics-easy-02,ethics,easy,Do intentions matter more than consequences?,Start with a concrete everyday case before expanding the argument.,"Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For an easy discussion, keep the example concrete and personal.",Apakah niat lebih penting daripada konsekuensi?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
ethics-easy-03,ethics,easy,Can one rule fit every moral dilemma?,Start with a concrete everyday case before expanding the argument.,"Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For an easy discussion, keep the example concrete and personal.",Bisakah satu aturan berlaku untuk semua dilema moral?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
ethics-easy-04,ethics,easy,Is moral certainty sometimes dangerous?,Start with a concrete everyday case before expanding the argument.,"Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For an easy discussion, keep the example concrete and personal.",Apakah kepastian moral kadang berbahaya?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
ethics-easy-05,ethics,easy,When does compromise become complicity?,Start with a concrete everyday case before expanding the argument.,"Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For an easy discussion, keep the example concrete and personal.",Kapan kompromi berubah menjadi ikut bersalah?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
ethics-medium-01,ethics,medium,Can lying for a good cause ever be justified?,"Test the idea against a trade-off, incentive, or unintended effect.","Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For a medium discussion, add incentives, power, and long-term consequences.",Apakah berbohong demi kebaikan bisa dibenarkan?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
ethics-medium-02,ethics,medium,Do intentions matter more than consequences?,"Test the idea against a trade-off, incentive, or unintended effect.","Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For a medium discussion, add incentives, power, and long-term consequences.",Apakah niat lebih penting daripada konsekuensi?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
ethics-medium-03,ethics,medium,Can one rule fit every moral dilemma?,"Test the idea against a trade-off, incentive, or unintended effect.","Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For a medium discussion, add incentives, power, and long-term consequences.",Bisakah satu aturan berlaku untuk semua dilema moral?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
ethics-medium-04,ethics,medium,Is moral certainty sometimes dangerous?,"Test the idea against a trade-off, incentive, or unintended effect.","Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For a medium discussion, add incentives, power, and long-term consequences.",Apakah kepastian moral kadang berbahaya?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
ethics-medium-05,ethics,medium,When does compromise become complicity?,"Test the idea against a trade-off, incentive, or unintended effect.","Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For a medium discussion, add incentives, power, and long-term consequences.",Kapan kompromi berubah menjadi ikut bersalah?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
ethics-hard-01,ethics,hard,Can lying for a good cause ever be justified?,Push the idea until it collides with a competing value or edge case.,"Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For a hard discussion, ask what breaks when two valid values collide.",Apakah berbohong demi kebaikan bisa dibenarkan?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
ethics-hard-02,ethics,hard,Do intentions matter more than consequences?,Push the idea until it collides with a competing value or edge case.,"Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For a hard discussion, ask what breaks when two valid values collide.",Apakah niat lebih penting daripada konsekuensi?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
ethics-hard-03,ethics,hard,Can one rule fit every moral dilemma?,Push the idea until it collides with a competing value or edge case.,"Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For a hard discussion, ask what breaks when two valid values collide.",Bisakah satu aturan berlaku untuk semua dilema moral?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
